time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-06_ioT01:00,32.878353000000004,-117.242309,TRUE,1,0,704.58947,Inside,building
2019-03-06_ioT01:01,32.878341,-117.242299,TRUE,1,1.6286569,705.53302,Inside,building
2019-03-06_ioT01:02,32.878351,-117.24231,TRUE,1,0.24120089,704.83031,Inside,building
2019-03-06_ioT01:03,32.878351,-117.24231,TRUE,1,0.24120089,704.83031,Inside,building
2019-03-06_ioT01:04,32.878351,-117.242309,TRUE,1,0.22238985,704.7989,Inside,building
2019-03-06_ioT01:05,32.878343,-117.242305,TRUE,1,1.1730137,705.51126,Inside,building
2019-03-06_ioT01:06,32.878357,-117.24230800000001,TRUE,1,0.45447729,704.13921,Inside,building
2019-03-06_ioT01:07,32.878351,-117.24231,TRUE,1,0.24120089,704.83031,Inside,building
2019-03-06_ioT01:08,32.878347,-117.24230700000001,TRUE,1,0.69281868,705.155,Inside,building
2019-03-06_ioT01:09,32.878351,-117.24231,TRUE,1,0.24120089,704.83031,Inside,building
2019-03-06_ioT01:10,32.878353000000004,-117.24230700000001,TRUE,1,0.18676856,704.52665,Inside,building
2019-03-06_ioT01:11,32.878357,-117.242306,TRUE,1,0.52565635,704.07637,Inside,building
2019-03-06_ioT01:12,32.878353999999995,-117.24230700000001,TRUE,1,0.21736331,704.42193,Inside,building
2019-03-06_ioT01:13,32.878353000000004,-117.24230700000001,TRUE,1,0.18676856,704.52665,Inside,building
2019-03-06_ioT01:14,32.878353999999995,-117.24230700000001,TRUE,1,0.21736331,704.42193,Inside,building
2019-03-06_ioT01:15,32.878353999999995,-117.24230700000001,FALSE,1,0.21736331,704.42193,Inside,building
2019-03-06_ioT01:16,32.878352,-117.24230800000001,TRUE,1,0.14520653,704.66277,Inside,building
2019-03-06_ioT01:17,32.878352,-117.24230800000001,TRUE,1,0.14520653,704.66277,Inside,building
2019-03-06_ioT01:18,32.878341,-117.242299,TRUE,1,1.6286569,705.53302,Inside,building
2019-03-06_ioT01:19,32.878341,-117.242299,TRUE,1,1.6286569,705.53302,Inside,building
2019-03-06_ioT01:20,32.878341,-117.242299,FALSE,1,1.6286569,705.53302,Inside,building
2019-03-06_ioT01:21,32.878359,-117.242309,TRUE,1,0.66716956,703.96124,Inside,building
2019-03-06_ioT01:22,32.878358,-117.24230800000001,TRUE,1,0.56376273,704.0345,Inside,building
2019-03-06_ioT01:23,32.878352,-117.24230800000001,TRUE,1,0.14520653,704.66277,Inside,building
2019-03-06_ioT01:24,32.878356,-117.242306,TRUE,1,0.43561958,704.18108,Inside,building
2019-03-06_ioT01:25,32.878353000000004,-117.242309,TRUE,1,0,704.58947,Inside,building
