time,lat,lon
2019-03-09T23:03:15.192Z,32.87839,-117.242308
2019-03-09T23:03:33.315Z,32.87839,-117.242308
2019-03-09T23:04:34.352Z,32.878389,-117.242309
2019-03-09T23:06:09.875Z,32.87839,-117.242305
2019-03-09T23:07:11.415Z,32.878386,-117.242313
2019-03-09T23:08:38.137Z,32.878386,-117.242313
2019-03-09T23:09:55.943Z,32.87839,-117.242307
2019-03-09T23:10:57.393Z,32.878393,-117.242307
2019-03-09T23:11:59.239Z,32.878386,-117.242313
2019-03-09T23:13:00.258Z,32.87839,-117.242308
2019-03-09T23:14:03.341Z,32.878391,-117.242308
2019-03-09T23:15:05.900Z,32.878396,-117.242309
2019-03-09T23:16:11.331Z,32.878396,-117.242309
2019-03-09T23:17:45.042Z,32.878388,-117.242308
2019-03-09T23:18:46.189Z,32.878392,-117.242308
2019-03-09T23:20:30.308Z,32.878391,-117.242309
2019-03-09T23:22:04.515Z,32.87839,-117.242306
2019-03-09T23:23:06.988Z,32.878392,-117.242307
2019-03-09T23:24:54.346Z,32.878394,-117.242308
2019-03-09T23:26:12.275Z,32.878392,-117.242309
2019-03-09T23:27:14.206Z,32.878391,-117.242308
2019-03-09T23:28:41.857Z,32.878389,-117.242307
2019-03-09T23:30:26.799Z,32.878427,-117.242319
2019-03-09T23:31:29.055Z,32.878391,-117.242307
2019-03-09T23:32:48.419Z,32.878391,-117.242307
2019-03-09T23:34:27.216Z,32.87839,-117.242305
2019-03-09T23:36:13.310Z,32.878389,-117.242306
2019-03-09T23:37:14.973Z,32.878389,-117.242306
2019-03-09T23:38:27.757Z,32.87839,-117.242308
2019-03-09T23:39:30.133Z,32.878391,-117.242307
2019-03-09T23:40:32.293Z,32.878386,-117.242355
2019-03-09T23:41:33.831Z,32.878391,-117.242307
2019-03-09T23:42:49.302Z,32.878393,-117.242306
2019-03-09T23:43:52.069Z,32.87839,-117.24231
2019-03-09T23:44:54.171Z,32.878392,-117.242308
2019-03-09T23:46:13.886Z,32.878394,-117.242307
2019-03-09T23:47:32.576Z,32.878393,-117.242308
2019-03-09T23:48:34.494Z,32.87839,-117.242307
2019-03-09T23:49:36.994Z,32.878392,-117.242307
2019-03-09T23:50:39.355Z,32.878389,-117.242306
2019-03-09T23:52:21.409Z,32.878386,-117.242313
2019-03-09T23:53:23.801Z,32.878392,-117.242306
2019-03-09T23:54:53.075Z,32.878386,-117.242313
2019-03-09T23:56:20.810Z,32.878386,-117.242313
2019-03-09T23:57:22.461Z,32.878386,-117.242313
2019-03-09T23:58:24.629Z,32.878393,-117.242307
2019-03-09T23:59:27.117Z,32.87839,-117.242308
2019-03-10T00:00:41.430Z,32.878371,-117.242303
2019-03-10T00:02:20.365Z,32.878382,-117.242303
2019-03-10T00:03:22.306Z,32.878389,-117.242309
2019-03-10T00:05:04.072Z,32.878386,-117.242313
2019-03-10T00:06:22.227Z,32.878388,-117.242307
2019-03-10T00:07:26.562Z,32.878389,-117.242308
2019-03-10T00:08:28.408Z,32.878393,-117.242306
2019-03-10T00:09:30.534Z,32.878393,-117.242306
2019-03-10T00:10:32.505Z,32.878383,-117.242318
2019-03-10T00:11:34.290Z,32.878393,-117.242307
2019-03-10T00:12:36.402Z,32.878392,-117.242306
2019-03-10T00:13:38.394Z,32.87839,-117.242306
2019-03-10T00:14:40.341Z,32.878395,-117.242308
2019-03-10T00:16:23.516Z,32.87839,-117.242306
2019-03-10T00:17:49.964Z,32.878386,-117.242313
2019-03-10T00:18:52.436Z,32.878391,-117.242306
2019-03-10T00:19:54.771Z,32.878393,-117.242306
2019-03-10T00:21:23.457Z,32.878392,-117.24231
2019-03-10T00:22:25.090Z,32.878386,-117.242313
2019-03-10T00:23:26.952Z,32.87839,-117.242305
2019-03-10T00:24:53.680Z,32.87839,-117.242305
2019-03-10T00:26:23.433Z,32.87839,-117.242305
2019-03-10T00:27:25.682Z,32.87839,-117.242305
2019-03-10T00:28:27.535Z,32.87839,-117.242305
2019-03-10T00:29:29.883Z,32.87839,-117.242305
2019-03-10T00:30:32.447Z,32.878392,-117.242308
2019-03-10T00:32:15.654Z,32.878387,-117.24231
2019-03-10T00:33:17.597Z,32.878386,-117.24231
2019-03-10T00:34:19.165Z,32.87839,-117.242309
2019-03-10T00:35:20.149Z,32.878388,-117.242308
2019-03-10T00:36:21.807Z,32.878386,-117.242313
2019-03-10T00:37:23.675Z,32.878386,-117.242313
2019-03-10T00:38:26.318Z,32.878388,-117.242307
2019-03-10T00:40:07.607Z,32.878386,-117.242313
2019-03-10T00:41:48.567Z,32.878396,-117.242309
2019-03-10T00:42:50.469Z,32.87839,-117.242309
2019-03-10T00:43:52.888Z,32.87839,-117.242308
2019-03-10T00:45:02.297Z,32.878394,-117.242308
2019-03-10T00:46:25.870Z,32.878389,-117.242307
2019-03-10T00:48:11.180Z,32.878392,-117.242308
2019-03-10T00:49:13.243Z,32.878392,-117.242308
2019-03-10T00:50:27.456Z,32.878388,-117.242308
2019-03-10T00:51:55.214Z,32.878384,-117.242313
2019-03-10T00:52:56.865Z,32.878389,-117.24231
2019-03-10T00:53:59.037Z,32.878388,-117.242307
2019-03-10T00:55:03.431Z,32.878388,-117.242307
