time,lat,lon,idx,io,isIndoor
2019-03-10T00:38:26.318Z,32.878388,-117.24230700000001,79,building,1
2019-03-10T00:40:07.607Z,32.878386,-117.242313,80,building,1
2019-03-10T00:41:48.567Z,32.878396,-117.242309,81,building,1
2019-03-10T00:42:50.469Z,32.87839,-117.242309,82,building,1
2019-03-10T00:43:52.888Z,32.87839,-117.24230800000001,83,building,1
2019-03-10T00:45:02.297Z,32.878394,-117.24230800000001,84,building,1
2019-03-10T00:46:25.870Z,32.878389,-117.24230700000001,85,building,1
2019-03-10T00:48:11.180Z,32.878392,-117.24230800000001,86,building,1
2019-03-10T00:49:13.243Z,32.878392,-117.24230800000001,87,building,1
2019-03-10T00:50:27.456Z,32.878388,-117.24230800000001,88,building,1
2019-03-10T00:51:55.214Z,32.878384000000004,-117.242313,89,building,1
2019-03-10T00:52:56.865Z,32.878389,-117.24231,90,building,1
2019-03-10T00:53:59.037Z,32.878388,-117.24230700000001,91,building,1
2019-03-10T00:55:03.431Z,32.878388,-117.24230700000001,92,building,1
2019-03-10T00:56:44.372Z,32.87839,-117.242306,93,building,1
2019-03-10T00:57:56.291Z,32.878389,-117.242306,94,building,1
2019-03-10T00:59:40.189Z,32.878386,-117.242313,95,building,1
2019-03-10T01:00:42.157Z,32.878396,-117.242309,96,building,1
2019-03-10T01:01:47.272Z,32.878388,-117.24230700000001,97,building,1
2019-03-10T01:03:11.901Z,32.878386,-117.242313,98,building,1
2019-03-10T01:04:14.621Z,32.878394,-117.24230700000001,99,building,1
2019-03-10T01:05:16.417Z,32.878386,-117.242313,100,building,1
2019-03-10T01:07:01.843Z,32.878392,-117.242309,101,building,1
2019-03-10T01:08:43.513Z,32.878396,-117.242309,102,building,1
2019-03-10T01:10:15.515Z,32.878386,-117.242313,103,building,1
2019-03-10T01:11:18.278Z,32.878386,-117.242313,104,building,1
2019-03-10T01:12:43.263Z,32.878392,-117.242309,105,building,1
2019-03-10T01:13:45.144Z,32.878394,-117.24230700000001,106,building,1
2019-03-10T01:14:46.773Z,32.878394,-117.24230700000001,107,building,1
2019-03-10T01:16:16.341Z,32.878394,-117.24230800000001,108,building,1
2019-03-10T01:17:18.438Z,32.87839,-117.24230800000001,109,building,1
2019-03-10T01:18:21.259Z,32.878388,-117.24230700000001,110,building,1
2019-03-10T01:19:28.373Z,32.878388,-117.24230800000001,111,building,1
2019-03-10T01:20:30.605Z,32.878389,-117.242309,112,building,1
2019-03-10T01:22:09.421Z,32.878389,-117.24230700000001,113,building,1
2019-03-10T01:23:34.936Z,32.878388,-117.24230700000001,114,building,1
2019-03-10T01:24:53.365Z,32.878389,-117.24230800000001,115,building,1
2019-03-10T01:26:09.017Z,32.878391,-117.24230700000001,116,building,1
2019-03-10T01:27:19.162Z,32.878395000000005,-117.24230800000001,117,building,1
2019-03-10T01:28:47.385Z,32.878386,-117.242313,118,building,1
2019-03-10T01:30:33.539Z,32.878389,-117.24230700000001,119,building,1
2019-03-10T01:31:41.974Z,32.878391,-117.24231,120,building,1
2019-03-10T01:33:11.378Z,32.878387,-117.24230800000001,121,building,1
2019-03-10T01:34:49.346Z,32.878388,-117.24230800000001,122,building,1
2019-03-10T01:36:12.842Z,32.878389,-117.24230800000001,123,building,1
2019-03-10T01:37:34.842Z,32.87839,-117.242309,124,building,1
2019-03-10T01:38:57.250Z,32.878397,-117.242309,125,building,1
2019-03-10T01:40:18.442Z,32.878394,-117.24231,126,building,1
2019-03-10T01:41:41.103Z,32.87839,-117.242309,127,building,1
2019-03-10T01:43:04.749Z,32.878391,-117.242309,128,building,1
2019-03-10T01:44:27.385Z,32.878395000000005,-117.24230700000001,129,building,1
2019-03-10T01:45:50.949Z,32.878391,-117.24230800000001,130,building,1
2019-03-10T01:47:14.852Z,32.878395000000005,-117.24230800000001,131,building,1
2019-03-10T01:48:37.068Z,32.878386,-117.242313,132,building,1
2019-03-10T01:49:58.305Z,32.878386,-117.242313,133,building,1
2019-03-10T01:51:21.730Z,32.878388,-117.242309,134,building,1
2019-03-10T01:52:43.064Z,32.878388,-117.24230700000001,135,building,1
2019-03-10T01:54:04.517Z,32.878386,-117.242313,136,building,1
2019-03-10T01:55:27.255Z,32.878397,-117.242309,137,building,1
2019-03-10T01:56:49.575Z,32.87839,-117.242306,138,building,1
2019-03-10T01:58:12.772Z,32.878386,-117.242313,139,building,1
2019-03-10T01:59:36.594Z,32.878388,-117.24230700000001,140,building,1
2019-03-10T02:00:58.223Z,32.878396,-117.242309,141,building,1
2019-03-10T02:02:19.792Z,32.878382,-117.242302,142,building,1
2019-03-10T02:03:43.180Z,32.878386,-117.242313,143,building,1
