time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-04-01_ioT15:00,32.8783169,-117.242309,TRUE,1,0,708.37082,Inside,building
2019-04-01_ioT15:01,32.8783169,-117.242309,FALSE,1,0,708.37082,Inside,building
2019-04-01_ioT15:02,32.8783168,-117.2423077,TRUE,1,0.12190779,708.34068,Inside,building
2019-04-01_ioT15:03,32.8783095,-117.242309,TRUE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:04,32.8783158,-117.242309,TRUE,1,0.12231442,708.48608,Inside,building
2019-04-01_ioT15:05,32.878313,-117.24230800000001,TRUE,1,0.44360096,708.74825,Inside,building
2019-04-01_ioT15:06,32.8783156,-117.2423092,TRUE,1,0.14575497,708.51329,Inside,building
2019-04-01_ioT15:07,32.878322,-117.24231129999998,TRUE,1,0.60640571,707.90843,Inside,building
2019-04-01_ioT15:08,32.8783152,-117.24230890000001,TRUE,1,0.1892619,708.54583,Inside,building
2019-04-01_ioT15:09,32.8783152,-117.24230890000001,FALSE,1,0.1892619,708.54583,Inside,building
2019-04-01_ioT15:10,32.8783095,-117.242309,TRUE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:11,32.8783367,-117.24231759999999,TRUE,1,2.3435619,706.56651,Inside,building
2019-04-01_ioT15:12,32.8783235,-117.2423131,TRUE,1,0.82775795,707.80766,Inside,building
2019-04-01_ioT15:13,32.8783099,-117.2423051,TRUE,1,0.85935562,708.98266,Inside,building
2019-04-01_ioT15:14,32.8783099,-117.2423051,FALSE,1,0.85935562,708.98266,Inside,building
2019-04-01_ioT15:15,32.878309,-117.2423054,TRUE,1,0.94057221,709.08634,Inside,building
2019-04-01_ioT15:16,32.878309,-117.24230520000002,TRUE,1,0.94740837,709.08011,Inside,building
2019-04-01_ioT15:17,32.878309,-117.2423054,TRUE,1,0.94057221,709.08634,Inside,building
2019-04-01_ioT15:18,32.878309,-117.2423054,FALSE,1,0.94057221,709.08634,Inside,building
2019-04-01_ioT15:19,32.8783095,-117.242309,TRUE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:20,32.8783095,-117.242309,FALSE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:21,32.8783095,-117.242309,TRUE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:22,32.8783159,-117.24230700000001,TRUE,1,0.21736337,708.41312,Inside,building
2019-04-01_ioT15:23,32.8783145,-117.2423077,TRUE,1,0.29318305,708.58169,Inside,building
2019-04-01_ioT15:24,32.8783095,-117.242309,TRUE,1,0.82284246,709.14626,Inside,building
2019-04-01_ioT15:25,32.8783147,-117.24230659999999,TRUE,1,0.33177418,708.52639,Inside,building
2019-04-01_ioT15:26,32.8783087,-117.242305,TRUE,1,0.98534584,709.10532,Inside,building
2019-04-01_ioT15:27,32.878314,-117.2423064,TRUE,1,0.40365249,708.5935,Inside,building
2019-04-01_ioT15:28,32.878316,-117.2423075,TRUE,1,0.17215259,708.41826,Inside,building
