time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,idx,io,isIndoor
2019-03-10T08:00:40.361Z,32.878403000000006,-117.242328,0,21.204,0,0,0,network,,,,,,,,83,,0,building,1
2019-03-10T08:02:03.781Z,32.878405,-117.242329,0,20.941999999999997,0,0,0,network,,,,,,,,83,,1,building,1
2019-03-10T08:03:06.276Z,32.878403999999996,-117.24233000000001,0,21.176,0,0,0,network,,,,,,,,83,,2,building,1
2019-03-10T08:04:17.703Z,32.878391,-117.242333,0,21.250999999999998,0,0,0,network,,,,,,,,83,,3,building,1
2019-03-10T08:05:19.256Z,32.878386,-117.24233799999999,0,21.489,0,0,0,network,,,,,,,,83,,4,building,1
2019-03-10T08:06:40.387Z,32.878387,-117.242323,0,21.21,0,0,0,network,,,,,,,,83,,5,building,1
2019-03-10T08:07:41.509Z,32.878391,-117.242333,0,21.311,0,0,0,network,,,,,,,,83,,6,building,1
2019-03-10T08:08:44.208Z,32.878384999999994,-117.24231999999999,0,21.430999999999997,0,0,0,network,,,,,,,,83,,7,building,1
2019-03-10T08:10:19.625Z,32.878383,-117.242323,0,21.416,0,0,0,network,,,,,,,,82,,8,building,1
2019-03-10T08:11:22.362Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,,9,building,1
2019-03-10T08:13:02.330Z,32.878391,-117.242309,0,21.358,0,0,0,network,,,,,,,,82,,10,building,1
2019-03-10T08:14:04.764Z,32.878391,-117.24231,0,21.123,0,0,0,network,,,,,,,,82,,11,building,1
2019-03-10T08:15:07.136Z,32.878391,-117.24230800000001,0,21.244,0,0,0,network,,,,,,,,82,,12,building,1
2019-03-10T08:16:09.512Z,32.878396,-117.242309,0,20.906999999999996,0,0,0,network,,,,,,,,82,,13,building,1
2019-03-10T08:17:14.618Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,,14,building,1
2019-03-10T08:18:41.803Z,32.878397,-117.242309,0,20.889,0,0,0,network,,,,,,,,82,,15,building,1
2019-03-10T08:19:45.582Z,32.878389,-117.24231,0,21.316,0,0,0,network,,,,,,,,82,,16,building,1
2019-03-10T08:21:23.504Z,32.87839,-117.24231100000002,0,21.228,0,0,0,network,,,,,,,,82,,17,building,1
2019-03-10T08:22:25.854Z,32.87839,-117.24231100000002,0,21.224,0,0,0,network,,,,,,,,82,,18,building,1
2019-03-10T08:23:42.533Z,32.87839,-117.24231,0,21.322,0,0,0,network,,,,,,,,82,,19,building,1
2019-03-10T08:24:53.198Z,32.878387,-117.24231,0,21.421999999999997,0,0,0,network,,,,,,,,82,,20,building,1
2019-03-10T08:26:17.065Z,32.878397,-117.242309,0,20.875,0,0,0,network,,,,,,,,82,,21,building,1
2019-03-10T08:27:19.249Z,32.87839,-117.24231100000002,0,21.188000000000002,0,0,0,network,,,,,,,,82,,22,building,1
