time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:,speed(M/s)
2019-03-10T16:03,32.87839,-117.24230800000001,TRUE,1,0,700.68494,Inside,building,0.000000
2019-03-10T16:04,32.878389,-117.242309,TRUE,1,0.1452065,700.82117,Inside,building,0.002420
2019-03-10T16:05,32.878389,-117.242307,FALSE,1,0.10868162,700.82117,Inside,building,-0.000609
2019-03-10T16:06,32.87839,-117.242305,TRUE,1,0.28015273,700.59024,Inside,building,0.002858
2019-03-10T16:07,32.878386,-117.242313,TRUE,1,0.64486,701.2615,Inside,building,0.006078
2019-03-10T16:08,32.878386,-117.242313,TRUE,1,0.64486,701.2615,Inside,building,0.000000
2019-03-10T16:09,32.87839,-117.24230700000001,TRUE,1,0.093384241,700.65336,Inside,building,-0.009191
2019-03-10T16:10,32.878393,-117.24230700000001,TRUE,1,0.34640933,700.33944,Inside,building,0.004217
2019-03-10T16:11,32.878386,-117.242313,TRUE,1,0.64486,701.2615,Inside,building,0.004974
2019-03-10T16:12,32.878388,-117.242311,FALSE,1,0.32243,701.2615,Inside,building,-0.005374
2019-03-10T16:13,32.87839,-117.24230800000001,TRUE,1,0,700.68494,Inside,building,-0.005374
2019-03-10T16:14,32.878391,-117.24230800000001,TRUE,1,0.11119493,700.5803,Inside,building,0.001853
2019-03-10T16:15,32.878396,-117.242309,TRUE,1,0.67367339,700.08875,Inside,building,0.009375
2019-03-10T16:16,32.878396,-117.242309,TRUE,1,0.67367339,700.08875,Inside,building,0.000000
2019-03-10T16:17,32.878388,-117.24230800000001,TRUE,1,0.22238985,700.89423,Inside,building,-0.007521
2019-03-10T16:18,32.878392,-117.24230800000001,TRUE,1,0.22238985,700.47567,Inside,building,-0.000000
2019-03-10T16:19,32.878391,-117.242309,FALSE,1,0.17320466,700.47567,Inside,building,-0.000820
2019-03-10T16:20,32.878391,-117.242309,TRUE,1,0.1452065,700.6119,Inside,building,-0.000467
2019-03-10T16:21,32.878391,-117.242308,FALSE,1,0.07260325,700.6119,Inside,building,-0.001210
2019-03-10T16:22,32.87839,-117.242306,TRUE,1,0.18676849,700.6218,Inside,building,0.001903
2019-03-10T16:23,32.878392,-117.24230700000001,TRUE,1,0.24120088,700.44408,Inside,building,0.000907
2019-03-10T16:24,32.878394,-117.24230800000001,TRUE,1,0.44477971,700.26639,Inside,building,0.003393
2019-03-10T16:25,32.878393,-117.242309,FALSE,1,0.3368367,700.26639,Inside,building,-0.001799
2019-03-10T16:26,32.878392,-117.242309,TRUE,1,0.24120088,700.50727,Inside,building,-0.001594
2019-03-10T16:27,32.878391,-117.24230800000001,TRUE,1,0.11119493,700.5803,Inside,building,-0.002167
2019-03-10T16:28,32.878389,-117.24230700000001,TRUE,1,0.1452065,700.75801,Inside,building,0.000567
2019-03-10T16:29,32.878408,-117.242313,FALSE,1,2.05525,700.75801,Inside,building,0.031834
2019-03-10T16:30,32.878427,-117.242319,TRUE,1,4.2405114,697.16464,Inside,building,0.036421
2019-03-10T16:31,32.878391,-117.24230700000001,TRUE,1,0.1452065,700.54872,Inside,building,-0.068255
