time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:,speed(M/s)
2019-03-30T12:58,32.878309200000004,-117.2423058,TRUE,1,0,709.07785,Inside,building,0.000000
2019-03-30T12:59,32.878309,-117.242307,FALSE,1,0.150343,709.07785,Inside,building,0.002506
2019-03-30T13:00,32.8783095,-117.242309,TRUE,1,0.30068599,709.14626,Inside,building,0.002506
2019-03-30T13:01,32.8783159,-117.2423074,TRUE,1,0.75984128,708.42562,Inside,building,0.007653
2019-03-30T13:02,32.8783087,-117.2423055,TRUE,1,0.062257007,709.1209,Inside,building,-0.011626
2019-03-30T13:03,32.8783128,-117.24230690000002,TRUE,1,0.41327164,708.73487,Inside,building,0.005850
2019-03-30T13:04,32.8783161,-117.2423084,TRUE,1,0.80474614,708.4359,Inside,building,0.006525
2019-03-30T13:05,32.8783087,-117.2423061,TRUE,1,0.062257007,709.13961,Inside,building,-0.012375
2019-03-30T13:06,32.8783095,-117.242309,TRUE,1,0.30068599,709.14626,Inside,building,0.003974
2019-03-30T13:07,32.878310,-117.242309,FALSE,1,0.30068599,709.14626,Inside,building,0.000000
2019-03-30T13:08,32.8783095,-117.242309,TRUE,1,0.30068599,709.14626,Inside,building,0.000000
2019-03-30T13:09,32.8783181,-117.242309,TRUE,1,1.0337681,708.24508,Inside,building,0.012218
2019-03-30T13:10,32.878318699999994,-117.2423092,TRUE,1,1.1030366,708.18847,Inside,building,0.001154
2019-03-30T13:11,32.8783175,-117.242306,TRUE,1,0.92310685,708.21423,Inside,building,-0.002999
2019-03-30T13:12,32.878315,-117.2423075,TRUE,1,0.66418226,708.52305,Inside,building,-0.004315
2019-03-30T13:13,32.8783145,-117.24230729999998,TRUE,1,0.60575155,708.5692,Inside,building,-0.000974
2019-03-30T13:14,32.8783129,-117.2423064,TRUE,1,0.41521904,708.70878,Inside,building,-0.003176
2019-03-30T13:15,32.8783162,-117.24230659999999,TRUE,1,0.78194148,708.36919,Inside,building,0.006112
2019-03-30T13:16,32.878316,-117.242307,FALSE,1,0.71895416,708.36919,Inside,building,-0.001050
2019-03-30T13:17,32.8783149,-117.24230790000001,TRUE,1,0.66345646,708.54602,Inside,building,-0.000925
2019-03-30T13:18,32.878316,-117.242308,FALSE,1,0.73231726,708.54602,Inside,building,0.001148
2019-03-30T13:19,32.8783163,-117.2423074,TRUE,1,0.80349846,708.3837,Inside,building,0.001186
2019-03-30T13:20,32.8783147,-117.24230729999998,TRUE,1,0.62740884,708.54824,Inside,building,-0.002935
2019-03-30T13:21,32.8783107,-117.24230449999999,TRUE,1,0.20629486,708.8801,Inside,building,-0.007019
2019-03-30T13:22,32.878310600000006,-117.24230459999998,TRUE,1,0.19181179,708.8937,Inside,building,-0.000241
2019-03-30T13:23,32.8783102,-117.24230530000001,TRUE,1,0.12060045,708.95745,Inside,building,-0.001187
2019-03-30T13:24,32.8783107,-117.24230449999999,TRUE,1,0.20629486,708.8801,Inside,building,0.001428
2019-03-30T13:25,32.878312,-117.242306,FALSE,1,0.31745543,708.8801,Inside,building,0.001853
2019-03-30T13:26,32.878313399999996,-117.2423067,TRUE,1,0.47452099,708.66575,Inside,building,0.002618
2019-03-30T13:27,32.8783095,-117.242309,TRUE,1,0.30068599,709.14626,Inside,building,-0.002897
2019-03-30T13:28,32.8783091,-117.24230559999998,TRUE,1,0.021736341,709.0821,Inside,building,-0.004649
2019-03-30T13:29,32.878315,-117.2423074,TRUE,1,0.66201228,708.51993,Inside,building,0.010671
2019-03-30T13:30,32.8783193,-117.2423108,TRUE,1,1.2162645,708.17564,Inside,building,0.009238
2019-03-30T13:31,32.8783262,-117.24230949999999,TRUE,1,1.9216325,707.41208,Inside,building,0.011756
2019-03-30T13:32,32.878318900000004,-117.24230890000001,TRUE,1,1.1167647,708.15813,Inside,building,-0.013414
2019-03-30T13:33,32.878314,-117.242309,FALSE,1,0.62899783,708.15813,Inside,building,-0.008129
2019-03-30T13:34,32.8783095,-117.242309,TRUE,1,0.30068599,709.14626,Inside,building,-0.005472
2019-03-30T13:35,32.8783097,-117.2423055,TRUE,1,0.062257006,709.01609,Inside,building,-0.003974
2019-03-30T13:36,32.8783089,-117.2423057,TRUE,1,0.034640936,709.10618,Inside,building,-0.000460
