time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:,speed(M/s)
2019-04-09T00:05,32.885292699999994,-117.24017099999999,TRUE,1,0,114.45749,Inside,leisure,0.000000
2019-04-09T00:06,32.885330,-117.240152,FALSE,1,4.5323176,114.45749,Inside,leisure,0.075539
2019-04-09T00:07,32.885368,-117.240134,FALSE,1,9.064635,114.45749,Inside,leisure,0.075539
2019-04-09T00:08,32.885406,-117.240116,FALSE,1,13.596952,114.45749,Inside,leisure,0.075539
2019-04-09T00:09,32.885443,-117.240097,FALSE,0,18.129269,114.45749,Inside,leisure,0.075539
2019-04-09T00:10,32.885481,-117.240079,FALSE,0,22.661585,114.45749,Inside,leisure,0.075539
2019-04-09T00:11,32.8855188,-117.24006000000001,TRUE,0,27.193902,136.02321,Inside,leisure,0.075539
2019-04-09T00:12,32.885517,-117.240061,FALSE,0,26.971662,136.02321,Inside,leisure,-0.003704
2019-04-09T00:13,32.885515,-117.240063,FALSE,0,26.74951,136.02321,Inside,leisure,-0.003703
2019-04-09T00:14,32.885514,-117.240064,FALSE,0,26.527448,136.02321,Inside,leisure,-0.003701
2019-04-09T00:15,32.885512,-117.240066,FALSE,0,26.305477,136.02321,Inside,leisure,-0.003700
2019-04-09T00:16,32.885510,-117.240067,FALSE,0,26.083599,136.02321,Inside,leisure,-0.003698
2019-04-09T00:17,32.8855087,-117.24006829999999,TRUE,0,25.861818,135.08049,Inside,leisure,-0.003696
2019-04-09T00:18,32.885403,-117.240165,FALSE,1,12.26072,135.08049,Inside,leisure,-0.226685
2019-04-09T00:19,32.885297,-117.240263,FALSE,1,8.5681139,135.08049,Inside,leisure,-0.061543
2019-04-09T00:20,32.885191,-117.240360,FALSE,0,20.930747,135.08049,Inside,leisure,0.206044
2019-04-09T00:21,32.885085,-117.240457,FALSE,0,35.275723,135.08049,Inside,leisure,0.239083
2019-04-09T00:22,32.884980,-117.240554,FALSE,0,49.922486,135.08049,Inside,leisure,0.244113
2019-04-09T00:23,32.88487369,-117.24065124,TRUE,0,64.666302,102.77111,Inside,building,0.245730
2019-04-09T00:24,32.884595,-117.239646,FALSE,0,91.758195,102.77111,Inside,building,0.451532
2019-04-09T00:25,32.884317,-117.238640,FALSE,0,179.47257,102.77111,Inside,building,1.461906
2019-04-09T00:26,32.884039,-117.237634,FALSE,0,274.87163,102.77111,Inside,building,1.589984
2019-04-09T00:27,32.883760,-117.236628,FALSE,0,372.09106,102.77111,Inside,building,1.620324
2019-04-09T00:28,32.883482,-117.235623,FALSE,0,470.00277,102.77111,Inside,building,1.631862
2019-04-09T00:29,32.88320383,-117.23461712,TRUE,0,568.24917,496.91765,Outside,amenity,1.637440
2019-04-09T00:30,32.881119,-117.231684,FALSE,0,918.36777,496.91765,Outside,amenity,5.835310
2019-04-09T00:31,32.879034,-117.228751,FALSE,0,1273.3373,496.91765,Outside,amenity,5.916159
2019-04-09T00:32,32.876950,-117.225819,FALSE,0,1629.9948,496.91765,Outside,amenity,5.944292
2019-04-09T00:33,32.874865,-117.222886,FALSE,0,1987.4345,496.91765,Outside,amenity,5.957328
2019-04-09T00:34,32.872780,-117.219953,FALSE,0,2345.301,496.91765,Outside,amenity,5.964441
2019-04-09T00:35,32.87069556,-117.21702012,TRUE,0,2703.4267,2609.3364,Outside,place,5.968762
2019-04-09T00:36,32.870685,-117.217027,FALSE,0,2703.6578,2609.3364,Outside,place,0.003851
2019-04-09T00:37,32.870674,-117.217033,FALSE,0,2703.8895,2609.3364,Outside,place,0.003862
2019-04-09T00:38,32.870663,-117.217040,FALSE,0,2704.1219,2609.3364,Outside,place,0.003873
2019-04-09T00:39,32.870652,-117.217047,FALSE,0,2704.3549,2609.3364,Outside,place,0.003884
2019-04-09T00:40,32.870641,-117.217054,FALSE,0,2704.5887,2609.3364,Outside,place,0.003896
2019-04-09T00:41,32.87063,-117.21706019999999,TRUE,0,2704.8231,2610.5347,Inside,building,0.003907
2019-04-09T00:42,32.870632,-117.217081,FALSE,0,2703.1801,2610.5347,Inside,building,-0.027384
2019-04-09T00:43,32.870634,-117.217101,FALSE,0,2701.5374,2610.5347,Inside,building,-0.027378
2019-04-09T00:44,32.870635,-117.217121,FALSE,0,2699.8951,2610.5347,Inside,building,-0.027371
2019-04-09T00:45,32.870637,-117.217142,FALSE,0,2698.2532,2610.5347,Inside,building,-0.027365
