time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-11_ioT01:00,32.878403000000006,-117.242328,TRUE,1,0,699.95992,Inside,building
2019-03-11_ioT01:01,32.878403000000006,-117.242328,FALSE,1,0,699.95992,Inside,building
2019-03-11_ioT01:02,32.878405,-117.242329,TRUE,1,0.24120087,699.78277,Inside,building
2019-03-11_ioT01:03,32.878403999999996,-117.24233000000001,TRUE,1,0.21736322,699.91917,Inside,building
2019-03-11_ioT01:04,32.878391,-117.242333,TRUE,1,1.4136747,701.3735,Inside,building
2019-03-11_ioT01:05,32.878386,-117.24233799999999,TRUE,1,2.1083993,702.05547,Inside,building
2019-03-11_ioT01:06,32.878387,-117.242323,TRUE,1,1.8393692,701.47369,Inside,building
2019-03-11_ioT01:07,32.878391,-117.242333,TRUE,1,1.4136747,701.3735,Inside,building
2019-03-11_ioT01:08,32.878384999999994,-117.24231999999999,TRUE,1,2.1363886,701.58771,Inside,building
2019-03-11_ioT01:09,32.878384999999994,-117.24231999999999,FALSE,1,2.1363886,701.58771,Inside,building
2019-03-11_ioT01:10,32.878383,-117.242323,TRUE,1,2.2723864,701.89201,Inside,building
2019-03-11_ioT01:11,32.87839,-117.242309,TRUE,1,2.2886046,700.71654,Inside,building
2019-03-11_ioT01:12,32.87839,-117.242309,FALSE,1,2.2886046,700.71654,Inside,building
2019-03-11_ioT01:13,32.878391,-117.242309,TRUE,1,2.2200457,700.6119,Inside,building
2019-03-11_ioT01:14,32.878391,-117.24231,TRUE,1,2.1461454,700.64351,Inside,building
2019-03-11_ioT01:15,32.878391,-117.24230800000001,TRUE,1,2.2953664,700.5803,Inside,building
2019-03-11_ioT01:16,32.878396,-117.242309,TRUE,1,1.9375225,700.08875,Inside,building
2019-03-11_ioT01:17,32.87839,-117.242309,TRUE,1,2.2886046,700.71654,Inside,building
2019-03-11_ioT01:18,32.878397,-117.242309,TRUE,1,1.8955889,699.98413,Inside,building
2019-03-11_ioT01:19,32.878389,-117.24231,TRUE,1,2.2910444,700.85277,Inside,building
2019-03-11_ioT01:20,32.878389,-117.24231,FALSE,1,2.2910444,700.85277,Inside,building
2019-03-11_ioT01:21,32.87839,-117.24231100000002,TRUE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:22,32.87839,-117.24231100000002,TRUE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:23,32.87839,-117.24231,TRUE,1,2.2169908,700.74814,Inside,building
2019-03-11_ioT01:24,32.878387,-117.24231,TRUE,1,2.4475995,701.06204,Inside,building
2019-03-11_ioT01:25,32.878387,-117.24231,FALSE,1,2.4475995,701.06204,Inside,building
2019-03-11_ioT01:26,32.878397,-117.242309,TRUE,1,1.8955889,699.98413,Inside,building
2019-03-11_ioT01:27,32.87839,-117.24231100000002,TRUE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:28,32.878386,-117.242313,TRUE,1,2.3527483,701.2615,Inside,building
2019-03-11_ioT01:29,32.87839,-117.24231100000002,TRUE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:30,32.87839,-117.24231100000002,FALSE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:31,32.87839,-117.24231100000002,TRUE,1,2.1470507,700.77975,Inside,building
2019-03-11_ioT01:32,32.878392,-117.24231,TRUE,1,2.0788365,700.53888,Inside,building
