time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,idx,io,isIndoor
2019-03-21T16:55:32.700Z,32.8700707,-117.2172744,80.4000015258789,21.37,,,0,network,,,,,,,,100,,0,building,1
2019-03-21T16:55:51.935Z,32.8700739,-117.21727150000001,82.0999984741211,21.399,,,0,network,,,,,,,,100,,1,building,1
2019-03-21T16:56:52.999Z,32.870087195045016,-117.21733783527478,82.4875690770055,8.0,,0.0,12,gps,0.8,1.6,1.9,-33.0,,,,100,,2,building,1
2019-03-21T17:02:18.000Z,32.87003596299186,-117.21721000611215,69.91979350070535,16.0,,,0,gps,1.6,99.0,140.0,-33.0,,,,99,,3,building,1
2019-03-21T17:07:15.431Z,32.871055600000005,-117.2187341,,25.674,,,0,network,,,,,,,,97,,4,highway,0
2019-03-21T17:08:17.342Z,32.8711485,-117.2180882,74.19999694824219,22.574,,,0,network,,,,,,,,97,,5,place,0
2019-03-21T17:09:18.783Z,32.8708961,-117.21835379999999,,23.723000000000003,,,0,network,,,,,,,,97,,6,place,0
2019-03-21T17:10:50.881Z,32.871043900000004,-117.21934180000001,,22.866999999999997,,,0,network,,,,,,,,96,,7,amenity,0
2019-03-21T17:12:08.493Z,32.87214654480753,-117.22629692465489,61.85568060563698,12.0,291.46972999999997,14.339414000000001,8,gps,1.2,3.3,3.8,-33.0,,,,95,,8,place,0
2019-03-21T17:13:13.309Z,32.871833145363716,-117.23279825350329,59.315458744841465,32.0,268.53094,11.787705,0,gps,3.2,99.0,140.0,-33.0,,,,95,,9,place,0
2019-03-21T17:14:31.149Z,32.8758202,-117.23361829999999,,28.541,,,0,network,,,,,,,,94,,10,amenity,0
2019-03-21T17:16:05.489Z,32.87726399919273,-117.23543915984705,79.60735910418984,4.0,297.2864,1.5130465,0,gps,0.4,99.0,140.0,-33.0,,,,94,,11,amenity,0
2019-03-21T17:17:24.596Z,32.877964,-117.23620159999999,,22.381999999999998,,,0,network,,,,,,,,93,,12,amenity,0
2019-03-21T17:19:04.306Z,32.8784644,-117.2372298,80.30000305175781,22.644000000000002,,,0,network,,,,,,,,93,,13,building,1
2019-03-21T17:20:25.460Z,32.8794473,-117.23758490000002,81.30000305175781,23.835,,,0,network,,,,,,,,92,,14,building,1
2019-03-21T17:21:51.122Z,32.8801674,-117.2371254,,27.41,,,0,network,,,,,,,,92,,15,building,1
2019-03-21T17:23:11.391Z,32.8810279,-117.2370274,79.0999984741211,21.866999999999997,,,0,network,,,,,,,,91,,16,highway,0
2019-03-21T17:24:33.387Z,32.8807988,-117.2370723,79.30000305175781,24.631,,,0,network,,,,,,,,91,,17,highway,0
2019-03-21T17:27:12.693Z,32.8806233,-117.2371919,79.0999984741211,22.022,,,0,network,,,,,,,,90,,18,highway,0
2019-03-21T17:32:17.938Z,32.88064310000001,-117.23713909999998,79.0999984741211,21.736,,,0,network,,,,,,,,90,,19,highway,0
2019-03-21T17:37:18.800Z,32.8806463,-117.23709509999999,79.0999984741211,23.191,,,0,network,,,,,,,,89,,20,highway,0
2019-03-21T17:42:18.735Z,32.880637300000004,-117.23716200000001,79.0999984741211,21.596,,,0,network,,,,,,,,89,,21,highway,0
2019-03-21T17:47:17.855Z,32.8806103,-117.23715490000001,79.0999984741211,21.226,,,0,network,,,,,,,,89,,22,highway,0
2019-03-21T17:52:17.887Z,32.880643199999994,-117.2371383,79.0999984741211,21.647,,,0,network,,,,,,,,88,,23,highway,0
2019-03-21T17:57:18.848Z,32.880642,-117.2371395,79.0999984741211,21.674,,,0,network,,,,,,,,88,,24,highway,0
2019-03-21T18:02:17.867Z,32.880628200000004,-117.23711180000001,79.0999984741211,22.258000000000003,,,0,network,,,,,,,,87,,25,highway,0
2019-03-21T18:07:18.828Z,32.8806358,-117.23712739999999,79.0999984741211,22.241,,,0,network,,,,,,,,87,,26,highway,0
2019-03-21T18:12:15.601Z,32.8806178,-117.237169,,22.01,,,0,network,,,,,,,,86,,27,highway,0
