time,lat,lon,elevation,accuracy,bearing,speed,satellites,idx,io,isIndoor
2019-03-05T09:00:15.777Z,32.878364000000005,-117.242303,0,21.464000000000002,0.0,0.0,0,52,building,1
2019-03-05T09:01:16.979Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,53,building,1
2019-03-05T09:02:18.100Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,54,building,1
2019-03-05T09:03:50.478Z,32.878338,-117.242302,0,21.397,0.0,0.0,0,55,building,1
2019-03-05T09:05:23.575Z,32.878347999999995,-117.242305,0,20.894000000000002,0.0,0.0,0,56,building,1
2019-03-05T09:06:24.688Z,32.878353999999995,-117.24230700000001,0,20.735,0.0,0.0,0,57,building,1
2019-03-05T09:07:25.736Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,58,building,1
2019-03-05T09:08:51.796Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,59,building,1
2019-03-05T09:09:52.927Z,32.878347999999995,-117.242306,0,20.744,0.0,0.0,0,60,building,1
2019-03-05T09:10:54.053Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,61,building,1
2019-03-05T09:11:55.079Z,32.878353000000004,-117.24230800000001,0,21.182,0.0,0.0,0,62,building,1
2019-03-05T09:12:56.211Z,32.878352,-117.24230700000001,0,21.33,0.0,0.0,0,63,building,1
2019-03-05T09:13:57.331Z,32.878353999999995,-117.24230700000001,0,22.0,0.0,0.0,0,64,building,1
2019-03-05T09:14:58.667Z,32.878358,-117.24230700000001,0,22.266,0.0,0.0,0,65,building,1
2019-03-05T09:16:11.876Z,32.878347,-117.242309,0,21.011,0.0,0.0,0,66,building,1
2019-03-05T09:17:12.908Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,67,building,1
2019-03-05T09:18:51.891Z,32.878356,-117.242305,0,21.445999999999998,0.0,0.0,0,68,building,1
2019-03-05T09:19:52.961Z,32.878356,-117.242306,0,21.416,0.0,0.0,0,69,building,1
2019-03-05T09:20:54.076Z,32.878353000000004,-117.242309,0,21.055,0.0,0.0,0,70,building,1
2019-03-05T09:22:27.091Z,32.878358,-117.24230800000001,0,21.046,0.0,0.0,0,71,building,1
2019-03-05T09:24:10.814Z,32.878329,-117.24230700000001,0,21.579,0.0,0.0,0,72,building,1
2019-03-05T09:25:11.904Z,32.878351,-117.24230800000001,0,21.449,0.0,0.0,0,73,building,1
2019-03-05T09:26:32.372Z,32.878353000000004,-117.242309,0,21.078000000000003,0.0,0.0,0,74,building,1
2019-03-05T09:28:08.516Z,32.878347999999995,-117.242305,0,21.065,0.0,0.0,0,75,building,1
2019-03-05T09:29:09.801Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,76,building,1
2019-03-05T09:30:26.083Z,32.878347999999995,-117.242306,0,21.186,0.0,0.0,0,77,building,1
2019-03-05T09:31:27.366Z,32.878352,-117.24230700000001,0,21.371,0.0,0.0,0,78,building,1
2019-03-05T09:32:28.405Z,32.878356,-117.242305,0,21.392,0.0,0.0,0,79,building,1
2019-03-05T09:33:29.971Z,32.878347999999995,-117.242306,0,21.057,0.0,0.0,0,80,building,1
2019-03-05T09:34:31.060Z,32.878353000000004,-117.242309,0,21.034000000000002,0.0,0.0,0,81,building,1
2019-03-05T09:35:32.191Z,32.878351,-117.24231,0,21.208000000000002,0.0,0.0,0,82,building,1
2019-03-05T09:36:33.317Z,32.878351,-117.24230800000001,0,21.455,0.0,0.0,0,83,building,1
2019-03-05T09:37:34.360Z,32.878352,-117.242306,0,21.362,0.0,0.0,0,84,building,1
2019-03-05T09:38:35.385Z,32.878355,-117.242305,0,21.421999999999997,0.0,0.0,0,85,building,1
2019-03-05T09:39:36.396Z,32.878346,-117.242309,0,20.999000000000002,0.0,0.0,0,86,building,1
2019-03-05T09:40:37.403Z,32.878349,-117.242303,0,21.16,0.0,0.0,0,87,building,1
2019-03-05T09:41:38.383Z,32.878349,-117.242303,0,21.13,0.0,0.0,0,88,building,1
2019-03-05T09:42:39.373Z,32.878347,-117.24230800000001,0,20.804000000000002,0.0,0.0,0,89,building,1
2019-03-05T09:43:40.403Z,32.878353999999995,-117.242305,0,21.614,0.0,0.0,0,90,building,1
2019-03-05T09:44:41.444Z,32.878347,-117.242306,0,20.825,0.0,0.0,0,91,building,1
2019-03-05T09:46:11.860Z,32.878347,-117.242309,0,21.191999999999997,0.0,0.0,0,92,building,1
2019-03-05T09:47:12.858Z,32.878347999999995,-117.242305,0,21.019000000000002,0.0,0.0,0,93,building,1
2019-03-05T09:48:13.829Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,94,building,1
2019-03-05T09:49:36.496Z,32.878351,-117.242306,0,21.177,0.0,0.0,0,95,building,1
2019-03-05T09:50:37.541Z,32.878355,-117.242305,0,21.423000000000002,0.0,0.0,0,96,building,1
2019-03-05T09:51:41.693Z,32.878352,-117.24231100000002,0,21.199,0.0,0.0,0,97,building,1
2019-03-05T09:52:42.766Z,32.878339000000004,-117.242299,0,20.811,0.0,0.0,0,98,building,1
2019-03-05T09:53:43.784Z,32.878347,-117.242309,0,21.041,0.0,0.0,0,99,building,1
2019-03-05T09:54:44.816Z,32.878341,-117.242295,0,21.184,0.0,0.0,0,100,building,1
2019-03-05T09:55:45.851Z,32.878347,-117.242309,0,21.038,0.0,0.0,0,101,building,1
2019-03-05T09:56:46.871Z,32.878353000000004,-117.24230700000001,0,21.42,0.0,0.0,0,102,building,1
2019-03-05T09:58:12.267Z,32.87836,-117.242309,0,22.388,0.0,0.0,0,103,building,1
2019-03-05T09:59:49.153Z,32.878353000000004,-117.24230700000001,0,21.368000000000002,0.0,0.0,0,104,building,1
2019-03-05T10:01:11.855Z,32.878353999999995,-117.242309,0,21.875999999999998,0.0,0.0,0,105,building,1
2019-03-05T10:02:12.938Z,32.878353999999995,-117.242309,0,21.901,0.0,0.0,0,106,building,1
2019-03-05T10:03:14.044Z,32.878352,-117.24231100000002,0,22.054000000000002,0.0,0.0,0,107,building,1
2019-03-05T10:04:47.837Z,32.878352,-117.24231100000002,0,22.074,0.0,0.0,0,108,building,1
2019-03-05T10:05:48.881Z,32.878352,-117.24230800000001,0,21.48,0.0,0.0,0,109,building,1
2019-03-05T10:06:49.957Z,32.878353000000004,-117.24230700000001,0,21.381,0.0,0.0,0,110,building,1
2019-03-05T10:08:20.368Z,32.878338,-117.242301,0,21.064,0.0,0.0,0,111,building,1
2019-03-05T10:09:49.138Z,32.878359,-117.24230800000001,0,21.051,0.0,0.0,0,112,building,1
2019-03-05T10:10:50.426Z,32.878347999999995,-117.242305,0,21.031,0.0,0.0,0,113,building,1
2019-03-05T10:11:51.507Z,32.878353000000004,-117.242306,0,21.373,0.0,0.0,0,114,building,1
2019-03-05T10:12:52.560Z,32.878347999999995,-117.242305,0,21.025,0.0,0.0,0,115,building,1
2019-03-05T10:13:53.661Z,32.878351,-117.24230800000001,0,21.26,0.0,0.0,0,116,building,1
2019-03-05T10:14:54.789Z,32.878349,-117.242303,0,21.144000000000002,0.0,0.0,0,117,building,1
2019-03-05T10:16:11.876Z,32.878347999999995,-117.242305,0,21.052,0.0,0.0,0,118,building,1
2019-03-05T10:17:12.888Z,32.878347,-117.242309,0,21.037,0.0,0.0,0,119,building,1
2019-03-05T10:18:23.663Z,32.878347,-117.242309,0,21.029,0.0,0.0,0,120,building,1
2019-03-05T10:19:53.454Z,32.878347,-117.24230700000001,0,20.820999999999998,0.0,0.0,0,121,building,1
