time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,idx,location_type,isIndoor
2019-04-08T07:05:11.447Z,32.885292699999994,-117.24017099999999,100.3000030517578,23.949,,,0,network,,,,,,,,46,,0,leisure,1
2019-04-08T07:11:12.403Z,32.8855188,-117.24006000000001,100.1999969482422,27.000999999999998,,,0,network,,,,,,,,46,,1,leisure,1
2019-04-08T07:17:13.430Z,32.8855087,-117.24006829999999,100.1999969482422,25.37,,,0,network,,,,,,,,45,,2,leisure,1
2019-04-08T07:23:17.000Z,32.88487369,-117.24065124,125.9610595703125,7.504,,0.0,0,gps,0.9,0.8,1.2,-26.8,,,,45,,3,building,1
2019-04-08T07:29:23.000Z,32.88320383,-117.23461712,114.80926513671876,28.944000000000003,15.2,4.69,0,gps,0.7,0.7,1.0,-26.8,,,,45,,4,amenity,0
2019-04-08T07:35:19.000Z,32.87069556,-117.21702012,95.21209716796876,11.792,50.4,0.15,0,gps,1.3,0.8,1.5,-26.8,,,,44,,5,place,0
2019-04-08T07:41:16.445Z,32.87063,-117.21706019999999,78.0,29.858,,,0,network,,,,,,,,44,,6,building,1
2019-04-08T07:47:17.462Z,32.8706408,-117.2171828,76.5,23.275,,,0,network,,,,,,,,43,,7,building,1
2019-04-08T07:53:19.391Z,32.870418699999995,-117.2170327,80.69999694824219,21.596,,,0,network,,,,,,,,42,,8,building,1
2019-04-08T07:59:20.418Z,32.870406800000005,-117.2170352,80.9000015258789,21.235,,,0,network,,,,,,,,42,,9,building,1
2019-04-08T08:05:21.408Z,32.870427500000005,-117.21702420000001,80.4000015258789,22.070999999999998,,,0,network,,,,,,,,42,,10,building,1
2019-04-08T08:11:22.437Z,32.870416999999996,-117.21703319999999,80.9000015258789,21.177,,,0,network,,,,,,,,41,,11,building,1
2019-04-08T08:17:22.456Z,32.8703846,-117.21704040000002,80.9000015258789,21.123,,,0,network,,,,,,,,41,,12,building,1
2019-04-08T08:23:22.438Z,32.8703917,-117.2170312,80.69999694824219,21.155,,,0,network,,,,,,,,40,,13,building,1
2019-04-08T08:29:23.387Z,32.8704184,-117.21701359999999,80.9000015258789,21.436999999999998,,,0,network,,,,,,,,39,,14,building,1
2019-04-08T08:35:24.408Z,32.8704108,-117.217021,80.9000015258789,21.233,,,0,network,,,,,,,,39,,15,building,1
2019-04-08T08:41:25.432Z,32.8704179,-117.217018,81.0,21.451999999999998,,,0,network,,,,,,,,39,,16,building,1
2019-04-08T08:47:26.407Z,32.8703935,-117.2170409,80.69999694824219,21.125,,,0,network,,,,,,,,39,,17,building,1
2019-04-08T08:53:27.429Z,32.870394899999994,-117.2170281,80.9000015258789,21.246,,,0,network,,,,,,,,39,,18,building,1
2019-04-08T08:59:28.361Z,32.8704014,-117.21702350000001,80.9000015258789,21.188000000000002,,,0,network,,,,,,,,39,,19,building,1
2019-04-08T09:05:29.441Z,32.8704134,-117.2170189,80.9000015258789,21.311999999999998,,,0,network,,,,,,,,39,,20,building,1
2019-04-08T09:11:29.430Z,32.8704412,-117.2169652,80.9000015258789,23.250999999999998,,,0,network,,,,,,,,39,,21,building,1
2019-04-08T09:17:29.429Z,32.8703912,-117.21702820000002,80.9000015258789,21.423000000000002,,,0,network,,,,,,,,39,,22,building,1
