time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-03-10T08:00:40.361Z,32.878403,-117.242328,0,21.204,0,0,0,network,,,,,,,,83,
2019-03-10T08:02:03.781Z,32.878405,-117.242329,0,20.942,0,0,0,network,,,,,,,,83,
2019-03-10T08:03:06.276Z,32.878404,-117.24233,0,21.176,0,0,0,network,,,,,,,,83,
2019-03-10T08:04:17.703Z,32.878391,-117.242333,0,21.251,0,0,0,network,,,,,,,,83,
2019-03-10T08:05:19.256Z,32.878386,-117.242338,0,21.489,0,0,0,network,,,,,,,,83,
2019-03-10T08:06:40.387Z,32.878387,-117.242323,0,21.21,0,0,0,network,,,,,,,,83,
2019-03-10T08:07:41.509Z,32.878391,-117.242333,0,21.311,0,0,0,network,,,,,,,,83,
2019-03-10T08:08:44.208Z,32.878385,-117.24232,0,21.431,0,0,0,network,,,,,,,,83,
2019-03-10T08:10:19.625Z,32.878383,-117.242323,0,21.416,0,0,0,network,,,,,,,,82,
2019-03-10T08:11:22.362Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,
2019-03-10T08:13:02.330Z,32.878391,-117.242309,0,21.358,0,0,0,network,,,,,,,,82,
2019-03-10T08:14:04.764Z,32.878391,-117.24231,0,21.123,0,0,0,network,,,,,,,,82,
2019-03-10T08:15:07.136Z,32.878391,-117.242308,0,21.244,0,0,0,network,,,,,,,,82,
2019-03-10T08:16:09.512Z,32.878396,-117.242309,0,20.907,0,0,0,network,,,,,,,,82,
2019-03-10T08:17:14.618Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,
2019-03-10T08:18:41.803Z,32.878397,-117.242309,0,20.889,0,0,0,network,,,,,,,,82,
2019-03-10T08:19:45.582Z,32.878389,-117.24231,0,21.316,0,0,0,network,,,,,,,,82,
2019-03-10T08:21:23.504Z,32.87839,-117.242311,0,21.228,0,0,0,network,,,,,,,,82,
2019-03-10T08:22:25.854Z,32.87839,-117.242311,0,21.224,0,0,0,network,,,,,,,,82,
2019-03-10T08:23:42.533Z,32.87839,-117.24231,0,21.322,0,0,0,network,,,,,,,,82,
2019-03-10T08:24:53.198Z,32.878387,-117.24231,0,21.422,0,0,0,network,,,,,,,,82,
2019-03-10T08:26:17.065Z,32.878397,-117.242309,0,20.875,0,0,0,network,,,,,,,,82,
2019-03-10T08:27:19.249Z,32.87839,-117.242311,0,21.188,0,0,0,network,,,,,,,,82,
2019-03-10T08:28:42.176Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,82,
2019-03-10T08:29:51.672Z,32.87839,-117.242311,0,21.229,0,0,0,network,,,,,,,,82,
2019-03-10T08:31:24.775Z,32.87839,-117.242311,0,21.394,0,0,0,network,,,,,,,,82,
2019-03-10T08:32:26.403Z,32.878392,-117.24231,0,21.093,0,0,0,network,,,,,,,,82,
2019-03-10T08:33:45.049Z,32.878389,-117.242311,0,21.435,0,0,0,network,,,,,,,,82,
2019-03-10T08:34:47.362Z,32.878396,-117.242309,0,20.907,0,0,0,network,,,,,,,,82,
2019-03-10T08:36:30.080Z,32.878391,-117.242309,0,21.33,0,0,0,network,,,,,,,,82,
2019-03-10T08:37:32.441Z,32.87839,-117.242311,0,21.233,0,0,0,network,,,,,,,,82,
2019-03-10T08:38:44.917Z,32.878396,-117.242309,0,20.909,0,0,0,network,,,,,,,,82,
2019-03-10T08:39:46.434Z,32.878392,-117.24231,0,21.104,0,0,0,network,,,,,,,,82,
2019-03-10T08:41:25.885Z,32.878388,-117.24231,0,20.594,0,0,0,network,,,,,,,,82,
2019-03-10T08:42:28.738Z,32.878397,-117.242309,0,20.907,0,0,0,network,,,,,,,,82,
2019-03-10T08:43:44.514Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,
2019-03-10T08:44:56.703Z,32.878388,-117.242308,0,20.934,0,0,0,network,,,,,,,,82,
2019-03-10T08:46:07.565Z,32.87839,-117.242309,0,21.33,0,0,0,network,,,,,,,,82,
2019-03-10T08:47:22.519Z,32.878388,-117.242307,0,20.795,0,0,0,network,,,,,,,,82,
2019-03-10T08:48:45.163Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,82,
2019-03-10T08:50:27.250Z,32.878388,-117.242307,0,20.82,0,0,0,network,,,,,,,,82,
2019-03-10T08:51:29.511Z,32.878391,-117.242308,0,21.268,0,0,0,network,,,,,,,,82,
2019-03-10T08:52:31.876Z,32.87839,-117.242309,0,21.34,0,0,0,network,,,,,,,,82,
2019-03-10T08:53:44.686Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,82,
2019-03-10T08:54:53.396Z,32.878391,-117.242308,0,21.256,0,0,0,network,,,,,,,,82,
2019-03-10T08:56:13.061Z,32.878392,-117.242311,0,21.099,0,0,0,network,,,,,,,,82,
2019-03-10T08:57:14.198Z,32.878389,-117.242309,0,21.518,0,0,0,network,,,,,,,,82,
2019-03-10T08:58:45.640Z,32.878396,-117.242309,0,20.925,0,0,0,network,,,,,,,,82,
2019-03-10T09:00:12.213Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,82,
2019-03-10T09:01:29.790Z,32.878381,-117.242313,0,21.632,0,0,0,network,,,,,,,,82,
2019-03-10T09:02:31.865Z,32.878389,-117.242309,0,21.515,0,0,0,network,,,,,,,,82,
2019-03-10T09:03:34.324Z,32.87839,-117.242309,0,21.31,0,0,0,network,,,,,,,,82,
2019-03-10T09:05:07.799Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,82,
2019-03-10T09:06:31.494Z,32.878391,-117.242311,0,21.14,0,0,0,network,,,,,,,,82,
2019-03-10T09:07:42.717Z,32.878389,-117.242308,0,20.683,0,0,0,network,,,,,,,,82,
2019-03-10T09:08:58.523Z,32.878392,-117.242308,0,21.253,0,0,0,network,,,,,,,,82,
2019-03-10T09:10:00.879Z,32.878391,-117.242311,0,21.187,0,0,0,network,,,,,,,,81,
2019-03-10T09:11:30.881Z,32.8784,-117.242316,0,21.136,0,0,0,network,,,,,,,,81,
2019-03-10T09:13:00.728Z,32.87839,-117.242309,0,21.243,0,0,0,network,,,,,,,,81,
2019-03-10T09:14:25.991Z,32.87839,-117.242311,0,21.198,0,0,0,network,,,,,,,,81,
2019-03-10T09:15:37.343Z,32.878392,-117.24231,0,21.003,0,0,0,network,,,,,,,,81,
2019-03-10T09:17:03.057Z,32.878386,-117.242313,0,30,0,0,0,network,,,,,,,,81,
2019-03-10T09:18:10.179Z,32.878391,-117.242311,0,21.174,0,0,0,network,,,,,,,,81,
2019-03-10T09:19:43.217Z,32.878393,-117.24231,0,21,0,0,0,network,,,,,,,,81,
2019-03-10T09:20:46.023Z,32.878398,-117.242321,0,21.254,0,0,0,network,,,,,,,,81,
2019-03-10T09:21:48.350Z,32.878398,-117.242321,0,21.25,0,0,0,network,,,,,,,,81,
2019-03-10T09:22:50.741Z,32.878398,-117.242321,0,21.248,0,0,0,network,,,,,,,,81,
2019-03-10T09:23:52.994Z,32.87839,-117.242309,0,21.255,0,0,0,network,,,,,,,,81,
2019-03-10T09:24:55.225Z,32.87839,-117.242312,0,21.171,0,0,0,network,,,,,,,,81,
2019-03-10T09:26:31.807Z,32.878397,-117.242309,0,20.864,0,0,0,network,,,,,,,,81,
2019-03-10T09:28:17.581Z,32.87839,-117.242311,0,21.176,0,0,0,network,,,,,,,,81,
2019-03-10T09:29:58.893Z,32.878391,-117.242308,0,20.92,0,0,0,network,,,,,,,,81,
2019-03-10T09:31:01.325Z,32.878387,-117.242311,0,21.294,0,0,0,network,,,,,,,,81,
2019-03-10T09:32:03.680Z,32.878392,-117.242308,0,21.236,0,0,0,network,,,,,,,,81,
2019-03-10T09:33:06.056Z,32.87839,-117.242309,0,21.303,0,0,0,network,,,,,,,,81,
2019-03-10T09:34:19.158Z,32.878397,-117.242309,0,20.891,0,0,0,network,,,,,,,,81,
2019-03-10T09:35:20.702Z,32.878391,-117.242308,0,20.898,0,0,0,network,,,,,,,,81,
2019-03-10T09:36:31.193Z,32.878392,-117.24231,0,21.112,0,0,0,network,,,,,,,,81,
2019-03-10T09:37:50.393Z,32.878387,-117.242308,0,21.359,0,0,0,network,,,,,,,,81,
2019-03-10T09:39:12.252Z,32.878396,-117.242309,0,20.613,0,0,0,network,,,,,,,,81,
2019-03-10T09:40:20.323Z,32.878392,-117.242311,0,21.135,0,0,0,network,,,,,,,,81,
2019-03-10T09:42:04.284Z,32.878392,-117.242311,0,21.135,0,0,0,network,,,,,,,,81,
2019-03-10T09:43:23.746Z,32.878387,-117.242309,0,21.352,0,0,0,network,,,,,,,,81,
2019-03-10T09:44:25.689Z,32.878388,-117.242307,0,20.787,0,0,0,network,,,,,,,,81,
2019-03-10T09:45:27.257Z,32.87839,-117.242309,0,21.301,0,0,0,network,,,,,,,,81,
2019-03-10T09:46:29.589Z,32.878387,-117.242308,0,21.366,0,0,0,network,,,,,,,,81,
2019-03-10T09:47:30.939Z,32.878397,-117.242309,0,20.813,0,0,0,network,,,,,,,,81,
2019-03-10T09:48:33.073Z,32.87839,-117.242309,0,21.271,0,0,0,network,,,,,,,,81,
2019-03-10T09:50:08.922Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,81,
2019-03-10T09:51:11.179Z,32.878394,-117.242307,0,20.717,0,0,0,network,,,,,,,,81,
2019-03-10T09:52:31.671Z,32.87839,-117.242309,0,21.244,0,0,0,network,,,,,,,,81,
2019-03-10T09:53:34.035Z,32.87839,-117.242311,0,21.144,0,0,0,network,,,,,,,,81,
2019-03-10T09:54:52.578Z,32.878397,-117.242309,0,20.776,0,0,0,network,,,,,,,,81,
2019-03-10T09:55:54.529Z,32.878388,-117.242308,0,20.418,0,0,0,network,,,,,,,,81,
2019-03-10T09:56:56.122Z,32.878389,-117.242311,0,21.338,0,0,0,network,,,,,,,,81,
2019-03-10T09:58:32.432Z,32.878396,-117.242309,0,20.773,0,0,0,network,,,,,,,,81,
2019-03-10T10:00:02.683Z,32.87839,-117.242309,0,21.242,0,0,0,network,,,,,,,,81,
2019-03-10T10:01:04.697Z,32.878391,-117.242311,0,21.05,0,0,0,network,,,,,,,,81,
2019-03-10T10:02:32.855Z,32.878441,-117.242352,0,22.265,0,0,0,network,,,,,,,,81,
2019-03-10T10:05:07.679Z,32.878447,-117.242351,0,22,0,0,0,network,,,,,,,,81,
2019-03-10T10:06:14.447Z,32.878398,-117.242317,0,21.223,0,0,0,network,,,,,,,,81,
2019-03-10T10:07:17.050Z,32.878398,-117.242317,0,21.223,0,0,0,network,,,,,,,,81,
2019-03-10T10:08:19.358Z,32.878398,-117.242317,0,21.224,0,0,0,network,,,,,,,,81,
2019-03-10T10:09:20.748Z,32.878398,-117.242317,0,21.219,0,0,0,network,,,,,,,,81,
2019-03-10T10:10:23.096Z,32.878399,-117.242317,0,21.22,0,0,0,network,,,,,,,,81,
2019-03-10T10:12:06.493Z,32.87839,-117.242309,0,21.238,0,0,0,network,,,,,,,,81,
2019-03-10T10:13:36.814Z,32.878386,-117.242313,0,20,0,0,0,network,,,,,,,,81,
2019-03-10T10:14:39.376Z,32.878391,-117.242308,0,20.876,0,0,0,network,,,,,,,,81,
2019-03-10T10:15:41.941Z,32.87839,-117.242309,0,21.28,0,0,0,network,,,,,,,,81,
2019-03-10T10:17:06.056Z,32.8784,-117.242317,0,20.964,0,0,0,network,,,,,,,,81,
